year,cafe_count,indoor_seats,outdoor_seats,total_seats,growth_rate
2002,694,75127,10222,85349,
2003,711,77974,11762,89736,2.45
2004,733,78868,14390,93258,3.09
2005,775,84933,17338,102271,5.73
2006,796,86640,17952,104592,2.71
2007,830,87622,18911,106533,4.27
2008,861,90543,20538,111081,3.73
2009,915,95924,22496,118420,6.27
2010,935,93014,23686,116700,2.19
2011,968,98778,24871,123649,3.53
2012,984,101936,26162,128098,1.65
2013,1027,109017,28460,137477,4.37
2014,1052,115427,29359,144786,2.43
2015,1071,116977,29320,146297,1.81
2016,1109,120277,29614,149891,3.55
2017,1114,121775,29424,151199,0.45
2018,1126,120616,27640,148256,1.08
2019,1125,120520,27168,147688,-0.09
2020,1061,111543,25249,136792,-5.69
2021,1048,106525,24926,131451,-1.23
2022,1011,103168,24102,127270,-3.53
2023,1034,100398,23579,123977,2.27
2024,1073,106759,23464,130223,3.77
