area,lat,lon
Melbourne (CBD),-37.82099397,144.956518441
Melbourne (CBD),-37.81784465,144.969917465
Melbourne (CBD),-37.81784465,144.969917465
Melbourne (CBD),-37.81988483,144.956601666
Melbourne (CBD),-37.82024345,144.956883655
Melbourne (CBD),-37.81975559,144.956948504
Melbourne (CBD),-37.82050677,144.955242109
Melbourne (CBD),-37.81999599,144.957828786
Melbourne (CBD),-37.81946849,144.958601136
Melbourne (CBD),-37.81943285,144.959510539
Melbourne (CBD),-37.8192157,144.959187534
Melbourne (CBD),-37.81848796,144.961133901
Melbourne (CBD),-37.81822749,144.961779888
Melbourne (CBD),-37.81782922,144.964499543
Melbourne (CBD),-37.81754523,144.964368397
Melbourne (CBD),-37.81741877,144.964331538
Melbourne (CBD),-37.81775826,144.963490994
Melbourne (CBD),-37.81784765,144.963225776
Melbourne (CBD),-37.81719024,144.96496778
Melbourne (CBD),-37.81763649,144.96509495
Melbourne (CBD),-37.81706291,144.965902771
Melbourne (CBD),-37.81710105,144.965484351
Melbourne (CBD),-37.8176078,144.965626331
Melbourne (CBD),-37.81618641,144.968676799
Melbourne (CBD),-37.81673488,144.968143252
Melbourne (CBD),-37.81670922,144.96908618
Melbourne (CBD),-37.81598753,144.969247753
Melbourne (CBD),-37.81584246,144.97204113
Melbourne (CBD),-37.81546152,144.971726206
Melbourne (CBD),-37.81542975,144.971392515
Melbourne (CBD),-37.81559017,144.971315408
Melbourne (CBD),-37.81506474,144.972512283
Melbourne (CBD),-37.81485549,144.972835247
Melbourne (CBD),-37.8154618,144.972720907
Melbourne (CBD),-37.81902044,144.955727469
Melbourne (CBD),-37.81929311,144.95469003
Melbourne (CBD),-37.8184145,144.958548349
Melbourne (CBD),-37.81866171,144.957538457
Melbourne (CBD),-37.81866171,144.957538457
Melbourne (CBD),-37.81858017,144.959122077
Melbourne (CBD),-37.8173062,144.961438973
Melbourne (CBD),-37.81745676,144.961113101
Melbourne (CBD),-37.8180082,144.959868643
Melbourne (CBD),-37.8180082,144.959868643
Melbourne (CBD),-37.81706704,144.963253733
Melbourne (CBD),-37.81722704,144.962788805
Melbourne (CBD),-37.81728432,144.96244181
Melbourne (CBD),-37.81686635,144.963649766
Melbourne (CBD),-37.81726468,144.963682753
Melbourne (CBD),-37.81664468,144.965474376
Melbourne (CBD),-37.8166033,144.965596537
Melbourne (CBD),-37.81584476,144.966330378
Melbourne (CBD),-37.81635062,144.965651032
Melbourne (CBD),-37.81543178,144.968755295
Melbourne (CBD),-37.81546677,144.967706535
Melbourne (CBD),-37.81584777,144.967430346
Melbourne (CBD),-37.81377997,144.973462178
Melbourne (CBD),-37.81430615,144.972628037
Melbourne (CBD),-37.81824464,144.955844585
Melbourne (CBD),-37.81753383,144.957473189
Melbourne (CBD),-37.81753764,144.958333858
Melbourne (CBD),-37.81719649,144.957798923
Melbourne (CBD),-37.81642893,144.960522489
Melbourne (CBD),-37.81730302,144.959442005
Melbourne (CBD),-37.81703239,144.959762275
Melbourne (CBD),-37.81629333,144.960396821
Melbourne (CBD),-37.81631093,144.960341264
Melbourne (CBD),-37.81638558,144.960085861
Melbourne (CBD),-37.81660734,144.959550019
Melbourne (CBD),-37.81666775,144.961045391
Melbourne (CBD),-37.81615528,144.962184393
Melbourne (CBD),-37.81592157,144.963497878
Melbourne (CBD),-37.81554941,144.963293794
Melbourne (CBD),-37.81585501,144.962439132
Melbourne (CBD),-37.81570426,144.962984348
Melbourne (CBD),-37.81529155,144.964466115
Melbourne (CBD),-37.81561893,144.964428319
Melbourne (CBD),-37.81528948,144.964225403
Melbourne (CBD),-37.81507697,144.965777332
Melbourne (CBD),-37.81485585,144.967277747
Melbourne (CBD),-37.81360963,144.970722603
Melbourne (CBD),-37.81314231,144.973257507
Melbourne (CBD),-37.81260038,144.973183613
Melbourne (CBD),-37.81708323,144.955503913
Melbourne (CBD),-37.81636534,144.957813206
Melbourne (CBD),-37.81651426,144.956668779
Melbourne (CBD),-37.81686865,144.957088016
Melbourne (CBD),-37.81596878,144.960110059
Melbourne (CBD),-37.81581152,144.960636631
Melbourne (CBD),-37.81491502,144.962944195
Melbourne (CBD),-37.81510975,144.962207824
Melbourne (CBD),-37.81514598,144.961818541
Melbourne (CBD),-37.81488174,144.964012048
Melbourne (CBD),-37.81473293,144.964348552
Melbourne (CBD),-37.81429892,144.965685091
Melbourne (CBD),-37.81414396,144.965613817
Melbourne (CBD),-37.81376794,144.967859853
Melbourne (CBD),-37.81379746,144.966067574
Melbourne (CBD),-37.81430553,144.966292046
Melbourne (CBD),-37.81301069,144.969463785
Melbourne (CBD),-37.81279907,144.969165311
Melbourne (CBD),-37.81281453,144.970109211
Melbourne (CBD),-37.81193572,144.97204722
Melbourne (CBD),-37.81212537,144.971565871
Melbourne (CBD),-37.81227428,144.971449909
Melbourne (CBD),-37.812234,144.970902899
Melbourne (CBD),-37.81207814,144.972350463
Melbourne (CBD),-37.81221616,144.972450949
Melbourne (CBD),-37.81584127,144.955149184
Melbourne (CBD),-37.81551353,144.955624348
Melbourne (CBD),-37.81531863,144.957392295
Melbourne (CBD),-37.81531863,144.957392295
Melbourne (CBD),-37.81494883,144.95876067
Melbourne (CBD),-37.81499761,144.959196898
Melbourne (CBD),-37.8150902,144.959379419
Melbourne (CBD),-37.8144361,144.961491987
Melbourne (CBD),-37.81388737,144.962707826
Melbourne (CBD),-37.81354034,144.962547924
Melbourne (CBD),-37.8142907,144.961405232
Melbourne (CBD),-37.81398751,144.961266412
Melbourne (CBD),-37.81374371,144.961991846
Melbourne (CBD),-37.81379494,144.961598239
Melbourne (CBD),-37.81385129,144.961204259
Melbourne (CBD),-37.81360425,144.963287893
Melbourne (CBD),-37.81288667,144.964646875
Melbourne (CBD),-37.81289706,144.965038641
Melbourne (CBD),-37.81296443,144.9658365
Melbourne (CBD),-37.81272047,144.966295166
Melbourne (CBD),-37.81259409,144.966876772
Melbourne (CBD),-37.81244678,144.967282791
Melbourne (CBD),-37.81246709,144.96764788
Melbourne (CBD),-37.81238087,144.96758979
Melbourne (CBD),-37.81251216,144.968247927
Melbourne (CBD),-37.81206119,144.968535908
Melbourne (CBD),-37.81223835,144.969182314
Melbourne (CBD),-37.81194604,144.970170292
Melbourne (CBD),-37.81146308,144.969339824
Melbourne (CBD),-37.81160744,144.969335255
Melbourne (CBD),-37.81175137,144.969403095
Melbourne (CBD),-37.81172969,144.970847236
Melbourne (CBD),-37.81168307,144.971007419
Melbourne (CBD),-37.81166963,144.971075461
Melbourne (CBD),-37.81165009,144.971163378
Melbourne (CBD),-37.811289,144.972362677
Melbourne (CBD),-37.81123539,144.97255541
Melbourne (CBD),-37.81143018,144.971014127
Melbourne (CBD),-37.81121462,144.970645342
Melbourne (CBD),-37.81094349,144.971830017
Melbourne (CBD),-37.81074304,144.971990272
Melbourne (CBD),-37.81083595,144.971505869
Melbourne (CBD),-37.81101377,144.971109213
Melbourne (CBD),-37.81127672,144.972412935
Melbourne (CBD),-37.81529895,144.954926555
Melbourne (CBD),-37.81498784,144.954249339
Melbourne (CBD),-37.81537494,144.953525588
Melbourne (CBD),-37.81537494,144.953525588
Melbourne (CBD),-37.81439357,144.956213508
Melbourne (CBD),-37.81501702,144.955669398
Melbourne (CBD),-37.81491966,144.955942078
Melbourne (CBD),-37.8146364,144.95704074
Melbourne (CBD),-37.81392391,144.959722913
Melbourne (CBD),-37.81386745,144.959907268
Melbourne (CBD),-37.81379647,144.959874118
Melbourne (CBD),-37.81338297,144.960969734
Melbourne (CBD),-37.8132345,144.960907958
Melbourne (CBD),-37.8131434,144.960866676
Melbourne (CBD),-37.81307029,144.961106093
Melbourne (CBD),-37.81318202,144.961167317
Melbourne (CBD),-37.81291055,144.961464779
Melbourne (CBD),-37.81288006,144.961012082
Melbourne (CBD),-37.81303978,144.960680876
Melbourne (CBD),-37.81354346,144.96132824
Melbourne (CBD),-37.81245199,144.963838585
Melbourne (CBD),-37.8125239,144.964839484
Melbourne (CBD),-37.81230108,144.964736445
Melbourne (CBD),-37.81185964,144.964531633
Melbourne (CBD),-37.81180752,144.964507035
Melbourne (CBD),-37.81188094,144.96613017
Melbourne (CBD),-37.81126839,144.966630476
Melbourne (CBD),-37.81128456,144.966576483
Melbourne (CBD),-37.81213633,144.96560295
Melbourne (CBD),-37.81202818,144.966418386
Melbourne (CBD),-37.81197639,144.966672391
Melbourne (CBD),-37.81186912,144.966941928
Melbourne (CBD),-37.8118553,144.967129981
Melbourne (CBD),-37.81169847,144.967298399
Melbourne (CBD),-37.81156166,144.967236445
Melbourne (CBD),-37.81140869,144.967166699
Melbourne (CBD),-37.81169356,144.965104624
Melbourne (CBD),-37.81181063,144.965147314
Melbourne (CBD),-37.81199559,144.965250371
Melbourne (CBD),-37.81067091,144.969584878
Melbourne (CBD),-37.81051104,144.969520605
Melbourne (CBD),-37.81053335,144.969119408
Melbourne (CBD),-37.81093607,144.96786271
Melbourne (CBD),-37.81132789,144.967994718
Melbourne (CBD),-37.81158809,144.967863195
Melbourne (CBD),-37.81081665,144.968152905
Melbourne (CBD),-37.81055707,144.97049616
Melbourne (CBD),-37.81005686,144.970714898
Melbourne (CBD),-37.81068513,144.970974892
Melbourne (CBD),-37.81033978,144.971413781
Melbourne (CBD),-37.80990397,144.971835359
Melbourne (CBD),-37.81392013,144.954298289
Melbourne (CBD),-37.81421045,144.953922371
Melbourne (CBD),-37.81437529,144.952954607
Melbourne (CBD),-37.81349786,144.954822177
Melbourne (CBD),-37.81386782,144.955771594
Melbourne (CBD),-37.81365662,144.956421679
Melbourne (CBD),-37.8134766,144.956016924
Melbourne (CBD),-37.8134766,144.956016924
Melbourne (CBD),-37.8130525,144.958352884
Melbourne (CBD),-37.81165187,144.961645358
Melbourne (CBD),-37.81161119,144.961626692
Melbourne (CBD),-37.81155119,144.961598787
Melbourne (CBD),-37.81210735,144.960393602
Melbourne (CBD),-37.81244232,144.960325405
Melbourne (CBD),-37.81212877,144.961762525
Melbourne (CBD),-37.81187439,144.960341087
Melbourne (CBD),-37.810658,144.965703374
Melbourne (CBD),-37.80938322,144.968906571
Melbourne (CBD),-37.8099428,144.968171809
Melbourne (CBD),-37.8099428,144.968171809
Melbourne (CBD),-37.81012652,144.967574017
Melbourne (CBD),-37.8091842,144.970732451
Melbourne (CBD),-37.8091842,144.970732451
Melbourne (CBD),-37.81327282,144.952896203
Melbourne (CBD),-37.81327282,144.952896203
Melbourne (CBD),-37.81275166,144.95495139
Melbourne (CBD),-37.81290439,144.955572945
Melbourne (CBD),-37.81299012,144.955503857
Melbourne (CBD),-37.81209045,144.957360919
Melbourne (CBD),-37.81146107,144.959861129
Melbourne (CBD),-37.81107017,144.959644312
Melbourne (CBD),-37.81131628,144.960948366
Melbourne (CBD),-37.81084464,144.962061274
Melbourne (CBD),-37.81073331,144.963018917
Melbourne (CBD),-37.81122709,144.964263714
Melbourne (CBD),-37.81107765,144.964193795
Melbourne (CBD),-37.80976881,144.965306017
Melbourne (CBD),-37.80874125,144.968724374
Melbourne (CBD),-37.80869914,144.968704545
Melbourne (CBD),-37.80913993,144.968446286
Melbourne (CBD),-37.80814525,144.97101463
West Melbourne (Residential),-37.81166257,144.953251433
Melbourne (CBD),-37.81123723,144.957113997
Melbourne (CBD),-37.81075363,144.958052866
Melbourne (CBD),-37.81071591,144.957162073
Melbourne (CBD),-37.8100143,144.960849507
Melbourne (CBD),-37.81067976,144.959277551
Melbourne (CBD),-37.81010387,144.960434848
Melbourne (CBD),-37.81040943,144.959061169
Melbourne (CBD),-37.80988902,144.959762876
Melbourne (CBD),-37.80944542,144.961742875
Melbourne (CBD),-37.80929555,144.962251266
Melbourne (CBD),-37.80895593,144.96317964
Melbourne (CBD),-37.80894099,144.962610056
Melbourne (CBD),-37.80818156,144.964543533
Melbourne (CBD),-37.80818156,144.964543533
Melbourne (CBD),-37.80768212,144.967394785
Melbourne (CBD),-37.8075865,144.967982089
Melbourne (CBD),-37.80967008,144.956662638
Melbourne (CBD),-37.81015871,144.956601159
Melbourne (CBD),-37.80918797,144.960522599
Melbourne (CBD),-37.80911596,144.96048906
Melbourne (CBD),-37.80897533,144.960424356
Melbourne (CBD),-37.8088586,144.960343859
Melbourne (CBD),-37.80880991,144.96023688
Melbourne (CBD),-37.80856366,144.960215796
Melbourne (CBD),-37.80904835,144.959575429
Melbourne (CBD),-37.80894909,144.961157281
Melbourne (CBD),-37.80765748,144.957205484
Melbourne (CBD),-37.80765748,144.957205484
Melbourne (CBD),-37.80765748,144.957205484
Melbourne (CBD),-37.80765748,144.957205484
Melbourne (CBD),-37.80765748,144.957205484
Melbourne (CBD),-37.8076029,144.959791631
Melbourne (CBD),-37.80750344,144.959633112
Melbourne (CBD),-37.80819713,144.958936644
Melbourne (CBD),-37.8076845,144.959088605
Melbourne (CBD),-37.80788769,144.958461316
Melbourne (CBD),-37.807983,144.95996948
Melbourne (CBD),-37.80794087,144.959950757
Melbourne (CBD),-37.80728963,144.962090701
Docklands,-37.82273183,144.953818379
Carlton,-37.7999972,144.96482819
Carlton,-37.7987209,144.965258417
Carlton,-37.80018973,144.966717255
Carlton,-37.80004558,144.966741006
Carlton,-37.79829108,144.966863457
Carlton,-37.79838828,144.967041148
Carlton,-37.79777439,144.967125791
Carlton,-37.7975082,144.967177892
Carlton,-37.79734681,144.967228741
Carlton,-37.79685803,144.966377828
Carlton,-37.79465838,144.969095378
Carlton,-37.79366098,144.970767327
Carlton,-37.79757961,144.969295009
Carlton,-37.79837995,144.968491963
Carlton,-37.79850637,144.967837797
Carlton,-37.79803089,144.968178866
Carlton,-37.79828024,144.967643727
Carlton,-37.79752965,144.968384074
Carlton,-37.7989855,144.968443765
Carlton,-37.79900338,144.967802954
Carlton,-37.80059699,144.967880034
Carlton,-37.79887015,144.967526441
Carlton,-37.79932164,144.96747353
